runId	fit_min	fit_max	fit_avg	fit_std
1	60124.8	2.33181e+007	2.03791e+006	5.26701e+006
2	182818	1.88665e+007	1.62274e+006	3.74911e+006
3	223029	1.78084e+007	1.65131e+006	3.84855e+006
4	201909	3.2609e+007	1.96449e+006	5.47588e+006
5	172712	3.01522e+007	1.98129e+006	5.34232e+006
6	155920	2.14833e+007	1.89397e+006	4.67247e+006
7	119578	1.43135e+007	1.52643e+006	3.44991e+006
8	102977	2.62898e+007	2.19827e+006	5.79691e+006
9	86162.6	1.60769e+007	1.31705e+006	2.96408e+006
10	147090	1.61995e+007	1.47478e+006	3.45926e+006
11	83813.4	1.61681e+007	1.7562e+006	3.95383e+006
12	124355	1.78863e+007	1.81774e+006	4.33858e+006
13	87193.5	2.36104e+007	1.63108e+006	4.17191e+006
14	189362	1.67813e+007	1.45456e+006	3.33943e+006
15	134645	2.93044e+007	1.93791e+006	5.4936e+006
16	192171	2.21075e+007	1.80711e+006	4.57717e+006
17	178936	1.55173e+007	1.50622e+006	3.58158e+006
18	167447	2.05438e+007	1.82644e+006	4.43872e+006
19	203633	2.33275e+007	1.58025e+006	3.87948e+006
20	87813.2	1.5438e+007	1.69119e+006	4.103e+006
21	141939	1.33254e+007	1.41078e+006	3.14592e+006
22	71123.5	2.14135e+007	2.0072e+006	5.12694e+006
23	239319	2.20816e+007	2.11158e+006	5.22927e+006
24	110865	1.71825e+007	1.7169e+006	4.08576e+006
25	187671	2.45677e+007	1.88774e+006	4.86806e+006
26	189692	1.59791e+007	1.63345e+006	3.76358e+006
27	156629	2.34757e+007	1.89916e+006	4.63688e+006
28	172269	1.77459e+007	1.57183e+006	3.65993e+006
29	153836	2.58843e+007	1.62557e+006	4.35297e+006
30	159140	2.27625e+007	1.90926e+006	4.7597e+006
