runId	fit_min	fit_max	fit_avg	fit_std
1	147.892	84172	2840	12367.2
2	121.755	53205.6	3300.14	10668.6
3	97.2997	49461.8	2475.89	8446.93
4	78.6851	252288	10537.8	44941.7
5	114.258	145632	4059.48	20847
6	120.726	48978.5	2190.91	7601.94
7	84.7023	116900	6046.35	20086.2
8	121.856	155368	4432.71	22261.6
9	111.492	99189.8	5412.24	19101.5
10	72.366	120523	5639	21309.7
11	108.505	41069	2140.47	6778
12	99.7477	79000.7	4594.39	15066
13	158.789	25714.9	1541.71	4929.5
14	70.1529	81331.1	4187.9	14582.4
15	104.407	251744	7041.83	35952
16	93.7618	127547	5675.04	20922.9
17	122.911	40455.7	2056.58	6643.92
18	148.233	307704	8285.32	43834.6
19	139.465	101401	4476.87	16452.7
20	72.5363	283438	9345.4	42457.6
21	102.579	163625	5987.58	24403.2
22	112.673	28322.7	1756	5146.96
23	100.351	91722	4273.69	15956.6
24	122.94	554276	13679.9	78628.6
25	110.07	71299.1	3730.02	13113.8
26	93.634	88900.3	4061.83	14468.7
27	132.578	152687	5985.78	24246.3
28	121.328	125402	4495.07	18673.5
29	95.3612	21886.4	1741.49	4912.35
30	110.15	394098	12066.9	57374.6
