runId	fit_min	fit_max	fit_avg	fit_std
1	161.28	9787.17	1168.37	2345.28
2	101.843	10320.6	1207.21	2556.09
3	126.156	9663.52	1199.8	2487.21
4	241.076	11074.6	1144.32	2313.88
5	183.935	11681.5	1177.03	2586.53
6	195.137	11406.4	1074.29	2315.74
7	159.289	9973.4	1117.96	2297.18
8	247.686	11841.8	1340.25	2846.69
9	151.421	11629.6	1246.71	2576.72
10	164.506	12578.9	1306.03	2860.07
11	201.529	12461.5	1206.62	2558.79
12	160.93	13977.8	1222.03	2575.7
13	139.806	12666.6	1203.05	2583.41
14	170.753	10682.2	1288.57	2725.31
15	140.425	13479.9	1159.05	2573.39
16	188.55	11506.1	1107.01	2143.06
17	131.285	8592.14	970.05	1892.13
18	175.211	10001.7	1141.02	2412.28
19	97.3761	9264.78	1074.85	2099.17
20	181.141	9261.18	1049.84	2001.14
21	176.223	11126	1221.91	2600.83
22	248.215	8720.47	1153.16	2265.72
23	190.357	9802.88	1186.43	2430.41
24	191.114	11481.5	1220.64	2570.48
25	167.796	11622.4	1137.18	2426.58
26	244.05	11979.8	1353.45	2893.29
27	149.012	10439.3	1261.53	2590.03
28	151.592	10975.9	1254.2	2719.97
29	247.067	10931.1	1261.32	2597.6
30	193.044	9284.71	1084.68	2078.18
