runId	fit_min	fit_max	fit_avg	fit_std
1	-7.10543e-015	819.27	65.2733	201.336
2	-7.10543e-015	624.184	52.6204	160.951
3	-7.10543e-015	1181.7	67.4023	226.269
4	-7.10543e-015	1197.56	61.8915	227.736
5	-7.10543e-015	993.281	59.4147	193.931
6	-7.10543e-015	877.357	73.3375	224.913
7	-7.10543e-015	1047.52	61.8407	203.607
8	-7.10543e-015	774.397	54.1253	174.785
9	-7.10543e-015	957.216	59.1078	196.509
10	-7.10543e-015	1381.97	74.2461	255.07
11	-7.10543e-015	897.427	48.7536	163.895
12	-7.10543e-015	908.322	59.7208	198.223
13	-7.10543e-015	719.5	57.7761	184.949
14	-7.10543e-015	828.041	63.3129	195.5
15	-7.10543e-015	1134.14	71.5427	237.724
16	-7.10543e-015	1246.79	61.4284	216.36
17	-7.10543e-015	668.346	62.2415	189.056
18	-7.10543e-015	1050.83	75.4183	248.428
19	-7.10543e-015	832.391	61.6261	196.256
20	-7.10543e-015	751.373	60.7179	191.779
21	-7.10543e-015	923.552	63.0687	200.611
22	-7.10543e-015	565.329	46.6571	144.08
23	-7.10543e-015	820.334	54.1312	172.708
24	-7.10543e-015	850.984	49.4592	164.632
25	-7.10543e-015	789.943	46.9135	158.216
26	-7.10543e-015	972.978	53.3938	185.082
27	-7.10543e-015	1032.74	47.146	177.707
28	-7.10543e-015	1099.47	60.24	207.047
29	-7.10543e-015	1317.74	59.6363	215.612
30	-7.10543e-015	1184.5	74.1523	244.22
