runId	fit_min	fit_max	fit_avg	fit_std
1	2177.5	38350.6	5657.68	6891.82
2	2396.83	33668	5354.54	5563.83
3	2013.37	41197.1	5655.82	6686.39
4	1980.1	34913	5877.19	6860.79
5	2467.36	29942.7	5097.02	5085.83
6	1787.59	21037.3	4888.71	3634.04
7	2203.96	32914.5	5982.76	6307.73
8	1899.75	24564.2	5027.14	5047.01
9	2308.78	27805.4	5182.93	5308.13
10	2318.4	33580.6	5450.7	5772.09
11	2255.17	30384.8	5191.82	5163.4
12	1826.46	29342.4	5335.49	5608.93
13	1796.93	31993	5667.34	7021.63
14	2006.17	23777.4	5148.28	4936.76
15	1621.02	23503.3	5490.5	5191.2
16	2065.43	23973.6	5249.37	4840.57
17	2365.67	34937.6	5991.49	6852.24
18	1732.26	32914	5842.73	6753.72
19	2640.43	17094.1	5043.57	3266.77
20	2094.21	36917.9	6278.48	7856.46
21	2382.9	38371.1	5082.89	5629.53
22	1451.1	27904.4	5392.71	5896.51
23	2183.81	28370	5357.83	5708.15
24	2560.65	48536	5966.11	7828.72
25	2726.26	29566.6	5855.47	6341.08
26	2172.2	37778.6	5469	6491.64
27	2168.69	32295.5	5266.72	5791.1
28	1973.53	28851.8	5396.54	5885.27
29	2522.58	35014.7	5532.1	6434.64
30	1759.99	23803.7	5386.82	4759.89
