runId	fit_min	fit_max	fit_avg	fit_std
1	551.495	5.27569e+007	1.35341e+006	7.69968e+006
2	234.611	1.91771e+009	3.83741e+007	2.71203e+008
3	573.462	1.52559e+006	88515.9	329380
4	258.247	2.00199e+011	4.00402e+009	2.83124e+010
5	390.659	1.07549e+010	2.34087e+008	1.52135e+009
6	489.576	1.00439e+008	3.12597e+006	1.54209e+007
7	784.123	1.94777e+006	113610	409591
8	374.329	2.64165e+008	5.66187e+006	3.73962e+007
9	258.409	1.54422e+007	513714	2.30371e+006
10	279.42	4.28048e+006	111946	608119
11	191.19	1.64465e+008	3.31869e+006	2.32551e+007
12	356.231	4.67091e+007	1.19699e+006	6.70142e+006
13	428.955	8.79064e+008	1.89003e+007	1.24249e+008
14	424.313	7.71663e+008	1.59268e+007	1.09104e+008
15	222.639	4.98444e+009	9.97239e+007	7.04902e+008
16	244.79	1.01418e+008	3.44445e+006	1.70169e+007
17	400.093	3.74953e+007	1.06494e+006	5.54688e+006
18	240.374	2.10671e+007	823762	3.75373e+006
19	483.305	7.03008e+009	1.99374e+008	1.05079e+009
20	483.662	1.78581e+009	3.59432e+007	2.52522e+008
21	561.351	3.27628e+007	1.16511e+006	5.75226e+006
22	239.247	2.94738e+006	137715	552949
23	325.809	7.25276e+007	3.06575e+006	1.33124e+007
24	631.523	2.08259e+007	426461	2.94402e+006
25	279.879	2.77758e+009	5.56071e+007	3.92801e+008
26	217.745	3.55465e+008	1.21796e+007	6.07787e+007
27	534.612	3.0158e+009	6.09962e+007	4.26417e+008
28	236.297	2.916e+007	1.09669e+006	5.09188e+006
29	434.005	1.05321e+008	2.63577e+006	1.5268e+007
30	328.703	5.03418e+008	1.27478e+007	7.23445e+007
