runId	fit_min	fit_max	fit_avg	fit_std
1	88.4658	9469.72	779.289	1920.19
2	84.5533	7849.49	670.176	1630.4
3	75.4565	11635.9	894.353	2307.18
4	66.9491	10360.4	766.51	2019.72
5	66.0763	8070.47	748.246	1862.74
6	88.7624	13062	804.99	2184.02
7	56.1381	7529.64	682.687	1683.24
8	73.5872	7958.9	823.45	2040.57
9	115.318	6376.78	747.238	1734.79
10	83.4163	9419.68	739.469	1895.64
11	83.8424	9327.02	869.287	2067.11
12	48.9159	7772.98	780.784	1882.58
13	68.7966	7583.55	736.936	1751.03
14	65.072	6994.52	712.277	1674.89
15	96.8881	8049.79	832.429	1961.44
16	86.3642	6942.47	699.84	1638.05
17	80.6245	10625.5	1001.4	2626.04
18	70.1549	8215.63	743.972	1814.97
19	81.6634	9740.61	813.566	2032.36
20	66.2655	5904	637.992	1472.3
21	67.7033	10030.1	829.235	2059.66
22	41.7613	9259.01	711.488	1829.28
23	76.6948	8415.79	783.426	1920.91
24	55.2132	6671.98	737.057	1661.64
25	74.4951	7988.33	721.585	1788.63
26	88.261	8673.1	758.51	1893.27
27	58.6978	6310.01	666.93	1568.4
28	59.9802	9326.17	833.412	2048.87
29	69.8315	7253.61	645.852	1548.18
30	89.8789	6555.74	644.254	1468.06
