runId	fit_min	fit_max	fit_avg	fit_std
1	11957	1.18476e+009	8.30838e+007	2.91978e+008
2	8232.28	1.79709e+009	3.90452e+007	2.54028e+008
3	10270.9	1.93934e+009	9.26548e+007	3.51774e+008
4	37075.2	5.62604e+009	1.21114e+008	7.95633e+008
5	10504.2	1.40805e+009	7.76114e+007	2.77057e+008
6	9411.48	1.54926e+009	8.21278e+007	2.81377e+008
7	14070.3	2.37616e+009	8.22861e+007	3.72553e+008
8	12931.2	2.06072e+009	9.63021e+007	3.75792e+008
9	13976.4	1.23859e+009	6.00551e+007	2.41754e+008
10	14142.9	2.22799e+009	7.88875e+007	3.43252e+008
11	8477.08	2.07255e+009	1.14957e+008	4.16267e+008
12	11627.4	4.61069e+009	1.24781e+008	6.65141e+008
13	9367.29	3.53291e+009	1.6156e+008	6.72406e+008
14	6902.8	9.38142e+008	4.96266e+007	1.97374e+008
15	8980.59	2.74352e+009	1.01563e+008	4.45718e+008
16	9671.75	6.32386e+009	1.4513e+008	8.95563e+008
17	17440.2	1.31224e+009	5.33599e+007	2.19359e+008
18	14891.2	3.58574e+009	7.61209e+007	5.06793e+008
19	11742.2	3.75481e+009	1.39955e+008	6.68578e+008
20	11807.2	1.26563e+009	6.77303e+007	2.30979e+008
21	10145.6	7.74107e+008	2.20079e+007	1.11674e+008
22	13081.3	2.63045e+009	9.62132e+007	4.22628e+008
23	9837.44	6.26997e+009	2.20084e+008	9.65342e+008
24	16130.7	6.60246e+008	3.54638e+007	1.23534e+008
25	16380.9	2.35899e+009	6.04694e+007	3.36164e+008
26	10129.3	1.26703e+009	1.07459e+008	3.31703e+008
27	5634.74	4.65156e+009	1.40268e+008	6.89351e+008
28	7004.04	1.18626e+009	4.8289e+007	2.00655e+008
29	9838.66	3.69615e+009	1.69802e+008	6.87208e+008
30	33384.9	2.49951e+009	1.12403e+008	4.43707e+008
