runId	fit_min	fit_max	fit_avg	fit_std
1	99.1294	8.54444e+007	6.32492e+006	1.9696e+007
2	104.851	9.11184e+007	7.11884e+006	2.21094e+007
3	96.7902	9.51856e+007	7.46358e+006	2.29777e+007
4	106.725	8.58831e+007	6.16519e+006	1.95177e+007
5	98.7288	8.00238e+007	5.71902e+006	1.81293e+007
6	107.275	8.66059e+007	6.13421e+006	1.94413e+007
7	84.3802	5.53492e+007	4.4622e+006	1.37543e+007
8	116.887	1.2045e+008	6.41731e+006	2.26722e+007
9	101.98	8.31253e+007	6.13491e+006	1.94569e+007
10	112.914	8.20229e+007	6.03943e+006	1.86616e+007
11	109.196	7.03422e+007	5.41019e+006	1.68068e+007
12	112.76	6.20972e+007	4.89468e+006	1.51869e+007
13	106.729	7.61711e+007	6.41852e+006	1.9825e+007
14	87.8228	9.21681e+007	5.61926e+006	1.82667e+007
15	89.2741	8.73676e+007	6.74132e+006	2.11883e+007
16	106.195	1.19014e+008	6.64805e+006	2.20061e+007
17	80.9782	8.04912e+007	6.24966e+006	1.95491e+007
18	122.167	8.19088e+007	7.15896e+006	2.18072e+007
19	122.805	9.37596e+007	6.11385e+006	2.07906e+007
20	99.2416	8.41868e+007	5.80067e+006	1.83448e+007
21	116.094	7.21598e+007	5.81866e+006	1.79768e+007
22	83.956	7.38649e+007	6.11509e+006	1.903e+007
23	94.8138	8.86817e+007	6.5481e+006	2.03823e+007
24	100.688	8.29638e+007	6.48966e+006	2.01881e+007
25	96.3258	9.26048e+007	6.23274e+006	1.99491e+007
26	84.8925	1.06539e+008	7.3427e+006	2.33302e+007
27	118.329	8.61098e+007	5.59039e+006	1.8826e+007
28	118.921	8.19967e+007	6.36469e+006	1.9882e+007
29	85.6861	9.33296e+007	6.99181e+006	2.19308e+007
30	109.608	8.32091e+007	6.04648e+006	1.89756e+007
