runId	fit_min	fit_max	fit_avg	fit_std
1	5.02422	8059.05	538.107	1706.37
2	4.20165	9015.78	625.278	1994.63
3	3.68945	8948.85	724.885	2205.4
4	3.24092	8806.08	634.048	2002.24
5	3.82359	9896.95	704.745	2246.43
6	3.91213	6976.98	512.113	1609.15
7	4.57112	10367.6	608.074	1973.88
8	5.31906	9434.2	623.219	1939.48
9	4.07657	7774.41	580.765	1799.44
10	3.02608	7603.47	534.842	1670.11
11	4.05687	8623.76	556.524	1736.24
12	6.32643	9060.48	703.085	2137.11
13	4.36929	7359.52	590.678	1797.07
14	4.33131	8083.26	512.503	1630.22
15	4.78047	8821.75	664.754	2044.56
16	4.18796	6785.4	540.287	1649.95
17	4.40275	9109.72	662.144	2074.6
18	6.08203	8055.13	575.671	1808.71
19	4.45814	6255.18	588.825	1764
20	6.26908	8367.14	537.349	1715.99
21	6.81236	6548.81	419.947	1308.84
22	3.51647	8396.62	674.065	2056.42
23	3.96617	8541.99	640.616	1977.77
24	5.05568	7838.69	652.622	1978.58
25	2.50189	7055.09	621.16	1879.32
26	3.70737	8443.36	604.613	1927.58
27	2.23672	7551.18	602.656	1883.91
28	7.50578	6732.96	504.867	1553.41
29	6.1251	8273.44	664.63	2005.72
30	3.77148	10338.5	634.535	2056.18
