runId	fit_min	fit_max	fit_avg	fit_std
1	4.3638	3.32802e+007	1.24152e+006	5.7596e+006
2	3.21038	1.58333e+008	3.24238e+006	2.23856e+007
3	3.25575	4.29817e+010	8.59676e+008	6.07853e+009
4	3.21549	4.36605e+007	1.45122e+006	7.32181e+006
5	3.58711	1.68872e+006	51485.4	255451
6	4.3247	2.50969e+006	101976	465231
7	2.96195	1.13692e+007	389208	1.92124e+006
8	3.84885	2.96581e+006	146312	579509
9	3.67516	6.42959e+007	1.30422e+006	9.0905e+006
10	4.94385	2.45147e+007	805837	4.05359e+006
11	4.20362	4.21934e+007	900230	5.96507e+006
12	3.03741	2.08027e+006	79226.5	365092
13	4.0485	1.31198e+006	32547.5	185988
14	3.62412	8.94672e+007	1.83828e+006	1.26487e+007
15	3.05155	1.41736e+007	360350	2.03421e+006
16	3.87621	447153	17630.5	69815.2
17	3.59811	1.06102e+006	44946.2	188564
18	3.83581	6.49967e+006	214257	1.02475e+006
19	3.56026	3.48195e+007	874198	5.02048e+006
20	3.39655	2.95961e+007	880409	4.57191e+006
21	3.20787	4.18086e+006	198478	827689
22	3.20918	1.36737e+009	2.79881e+007	1.93308e+008
23	4.05825	3.25436e+006	120215	522003
24	2.87189	2.06449e+009	4.13727e+007	2.91951e+008
25	4.7159	3.63239e+009	7.37912e+007	5.1358e+008
26	3.28431	5.03948e+008	1.32625e+007	7.42275e+007
27	4.43647	469114	18336.8	75508.1
28	3.60099	3.69778e+007	1.35763e+006	5.97883e+006
29	3.94935	3.8924e+006	176935	696039
30	3.09889	1.42213e+006	38474.7	204086
