runId	fit_min	fit_max	fit_avg	fit_std
1	123.099	5.818e+007	1.68275e+006	8.66133e+006
2	90.1527	8.98369e+008	2.46948e+007	1.32617e+008
3	129.489	7.81173e+006	490675	1.73838e+006
4	93.4336	1.19868e+012	2.39737e+010	1.69518e+011
5	95.0487	5.0672e+007	1.08259e+006	7.16927e+006
6	104.057	1.77984e+008	3.74927e+006	2.51559e+007
7	92.9663	2.13943e+007	740463	3.22594e+006
8	93.4854	1.7533e+009	4.90611e+007	2.63858e+008
9	118.556	1.32456e+007	285276	1.8735e+006
10	100.028	3.43586e+010	6.89171e+008	4.85876e+009
11	75.3627	9.5201e+007	2.14169e+006	1.35214e+007
12	122.3	3.16862e+007	1.07923e+006	4.99875e+006
13	98.5422	1.67537e+009	3.88692e+007	2.37589e+008
14	105.965	7.0309e+009	1.41687e+008	9.94177e+008
15	104.928	3.43561e+007	1.47155e+006	6.40171e+006
16	88.5323	1.72445e+009	3.57213e+007	2.43849e+008
17	73.1689	2.1335e+008	5.90885e+006	3.12575e+007
18	110.972	5.82908e+010	1.65514e+009	8.87326e+009
19	112.773	3.61182e+007	1.34004e+006	5.97235e+006
20	121.386	3.77337e+008	7.58426e+006	5.33585e+007
21	98.5705	2.43969e+008	6.79174e+006	3.57651e+007
22	99.1094	3.80303e+006	105690	549840
23	106.657	1.58325e+008	6.51875e+006	2.65978e+007
24	101.065	9.19837e+007	3.14253e+006	1.43453e+007
25	100.385	2.15374e+009	4.35775e+007	3.04529e+008
26	104.506	3.77936e+006	181538	690521
27	120.017	2.38644e+007	542334	3.38231e+006
28	130.155	1.99013e+011	4.03509e+009	2.81393e+010
29	103.059	3.78689e+007	1.18815e+006	6.02881e+006
30	114.826	9.48864e+007	2.59467e+006	1.4034e+007
