runId	fit_min	fit_max	fit_avg	fit_std
1	140.259	2.56333e+006	137687	501204
2	117.356	1.71456e+006	95485.2	320230
3	147.607	2.18326e+006	158538	502557
4	140.719	2.13276e+006	133313	452984
5	125.049	1.46254e+006	105585	331094
6	139.549	2.23619e+006	114551	407411
7	134.039	2.41742e+006	129255	453003
8	110.964	1.83916e+006	124697	403702
9	154.902	2.35959e+006	164371	539889
10	119.911	2.15291e+006	155233	499356
11	118.742	3.04978e+006	220109	695607
12	125.225	1.51147e+006	86634.5	287711
13	114.444	1.15514e+006	96660.6	298396
14	133.812	2.71937e+006	138586	472833
15	150.844	2.28262e+006	157296	508586
16	139.563	1.59175e+006	117577	389616
17	109.829	1.5174e+006	111508	346186
18	125.612	2.9608e+006	134417	487404
19	138.537	2.12318e+006	123034	417751
20	104.322	1.45205e+006	106278	347022
21	134.726	2.29816e+006	107783	381343
22	157.998	2.43467e+006	161195	534513
23	116.495	2.20106e+006	120820	417515
24	115.096	1.93494e+006	84722.1	315157
25	117.326	1.10003e+006	97049.3	298693
26	117.326	2.09742e+006	144285	480970
27	133.674	2.15566e+006	133238	433791
28	117.285	2.49982e+006	117945	436010
29	114.942	2.42649e+006	112865	413621
30	114.972	1.71397e+006	120744	387156
