runId	fit_min	fit_max	fit_avg	fit_std
1	4.16888	10385.4	656.579	2106.19
2	2.33988	10654.7	688.737	2213.96
3	4.04515	9432.07	673.226	2099.35
4	4.14599	7567.31	590.648	1818.37
5	2.98133	8199.03	711.267	2158.8
6	4.08273	8227.61	490.178	1635.66
7	3.06145	9168.22	651.235	2093.38
8	3.07362	7287.98	603.001	1825.44
9	3.96669	8901.29	696.354	2121.55
10	3.44006	10026.2	751.831	2309.72
11	3.11146	7097.44	507.153	1568.32
12	1.8805	8682.85	700.411	2167.25
13	3.76892	7590.42	565.722	1747.18
14	3.87972	6935.61	535.166	1729.9
15	3.65817	10549.6	829.766	2587.15
16	2.23904	7967.92	534.318	1688.72
17	2.37393	6065.35	520.59	1578.51
18	2.42247	7106.98	494.426	1526.93
19	3.49618	7922.03	606.527	1866.65
20	3.58607	7472.42	572.957	1782.92
21	3.37357	10085.8	687.328	2155.49
22	3.33324	7496.17	558.11	1741.73
23	3.68466	9924.76	735.584	2254.79
24	3.39528	9063.56	684.35	2153.06
25	3.45794	8422.18	667.982	2072.82
26	2.74016	10212.8	574.805	1886.69
27	2.35292	6081.57	513.081	1566.41
28	4.58187	7196.32	608.331	1838.54
29	4.32805	9450.04	611.143	1917.45
30	4.30413	8745.08	659.037	2015.63
