runId	fit_min	fit_max	fit_avg	fit_std
1	0.0494345	11708.8	822.677	2622.46
2	0.109591	9169.92	792.908	2422.19
3	0.108805	10713.4	780.703	2458.71
4	0.0593508	11746	840.237	2608.68
5	0.0453592	7957.06	658.199	2046.42
6	0.0497103	10502.9	837.686	2576.16
7	0.100635	11296.5	846.915	2643.2
8	0.0731029	11571.7	788.426	2508.55
9	0.107183	8994.24	803.027	2477.54
10	0.0733492	9966.94	809.642	2520.48
11	0.0622484	10368.7	853.421	2620.1
12	0.0360036	10318.3	846.653	2612.34
13	0.0659172	10119.9	697.145	2181.89
14	0.0255198	12656.6	947.257	3029.71
15	0.0611184	12225.6	990.357	3058.91
16	0.107854	10019.2	922.858	2805.2
17	0.0545323	14276.4	1192.85	3701.19
18	0.0765053	9966.05	871.405	2663.13
19	0.0582484	11217.6	819.881	2567.07
20	0.129751	10674.3	962.823	2925.05
21	0.0841339	8995.84	743.802	2285.29
22	0.035054	9039.37	775.507	2369.93
23	0.0588336	8310.55	732.313	2234.96
24	0.0774945	11200.6	790.417	2531.42
25	0.0518928	11723.2	801.195	2557.71
26	0.0787589	12559.9	886.187	2770.01
27	0.0958955	11888.4	924.947	2854.67
28	0.0893298	9350.92	791.025	2424.84
29	0.0135158	11278.2	753.162	2407.8
30	0.0632846	8721.1	686.469	2197.7
