runId	fit_min	fit_max	fit_avg	fit_std
1	0.0650051	79189.8	5145.06	17499.2
2	0.0677385	25433.5	1342.18	4784.92
3	0.0528459	65775.6	3357.04	11570.4
4	0.0640118	22204.8	1503.18	5125.01
5	0.0530501	148823	4453.55	21522.8
6	0.0610808	99236.3	5380.28	19387
7	0.067613	113053	5097.3	20515.4
8	0.0692869	221411	7737.42	35376.6
9	0.0513809	191144	8633.78	31505.8
10	0.086513	200689	8714.21	35810.3
11	0.0548876	102169	4454.83	16552.4
12	0.0809145	52699.6	1991.94	8321.81
13	0.0909159	89235.8	4050.51	16441
14	0.0566047	56572.5	2658.36	10506.6
15	0.0885892	291086	12483.5	49147.4
16	0.0455239	58747.9	3880.91	12309.5
17	0.0360558	132456	3913.05	19098.5
18	0.0758531	82598.2	2537.75	12113.9
19	0.058599	239134	6921.46	34417.4
20	0.0513153	146173	4258.1	20997.2
21	0.0358562	157083	11594.9	36182.4
22	0.0340403	48315.3	3567.96	11905.3
23	0.0402891	58350.7	2388.61	9186.63
24	0.0628509	151508	6729.86	26900
25	0.0784068	146129	5236.92	22737.8
26	0.0426248	105498	4576.84	17562.4
27	0.0551385	183386	5724.8	26826.2
28	0.0536844	236418	6579.12	33884.3
29	0.0618419	34160.8	2368.08	7647.24
30	0.0595267	230663	9192.38	36878.2
