runId	fit_min	fit_max	fit_avg	fit_std
1	1.47173	9.67473e+007	3.05019e+006	1.54738e+007
2	0.993417	8.5795e+007	3.52901e+006	1.4859e+007
3	1.47	297728	13285.3	48490.8
4	1.21679	2.76151e+006	133135	541053
5	1.47581	7.27023e+008	1.57652e+007	1.02814e+008
6	1.36788	1.58806e+007	438282	2.29733e+006
7	1.42296	2.144e+010	4.29062e+008	3.03204e+009
8	1.45802	4.13006e+007	916249	5.84587e+006
9	1.40214	3.77569e+007	822859	5.33851e+006
10	0.636755	6.20163e+007	1.59227e+006	8.93129e+006
11	0.794699	1.54643e+007	657709	2.83365e+006
12	2.37408	5.16967e+009	1.03463e+008	7.31092e+008
13	1.1609	3.672e+007	980830	5.29169e+006
14	1.36129	1.12751e+009	2.39199e+007	1.59471e+008
15	1.40775	2.2218e+009	5.77021e+007	3.21069e+008
16	1.56636	4.44115e+008	1.30373e+007	6.8597e+007
17	0.962542	1.10091e+008	3.07018e+006	1.61079e+007
18	0.79649	5.46829e+009	1.09446e+008	7.73321e+008
19	1.11564	2.28753e+008	4.79898e+006	3.23334e+007
20	0.745477	5.8402e+008	1.17807e+007	8.25798e+007
21	1.82688	845158	29461.5	127562
22	1.317	6.27788e+008	1.25935e+007	8.87773e+007
23	1.52228	5.55792e+009	1.11175e+008	7.86006e+008
24	0.970151	173940	10944.8	36714.7
25	1.10491	2.28683e+007	708815	3.53386e+006
26	1.6172	2.10127e+009	4.21225e+007	2.9715e+008
27	1.399	7.44005e+006	225811	1.10453e+006
28	1.25659	5.11361e+008	1.3199e+007	7.48047e+007
29	1.46069	1.95926e+008	4.31618e+006	2.77148e+007
30	1.41574	2.01921e+007	695370	3.24487e+006
