runId	fit_min	fit_max	fit_avg	fit_std
1	46.5969	28476.2	2128.28	6367.12
2	32.7665	32993.3	2508.93	7724.56
3	37.94	20871.8	1933.15	5701.23
4	56.6817	24780.8	1664.38	5048.27
5	33.6575	33861.7	2307.57	7050.41
6	47.832	29522.4	2177.39	6611.37
7	42.2117	21078.6	1754.23	5265.38
8	50.494	49517.2	2473.08	8373.24
9	49.5427	34616	2515.5	7618.26
10	54.2469	23028.7	1891.08	5552.72
11	48.8639	32306.6	2423.6	7405.76
12	40.9451	42823.6	2586.56	8219.14
13	56.6169	28348.6	2043.63	6186.31
14	42.3292	46898.2	2593.81	8473.29
15	51.4561	28938.4	2045.97	6247.13
16	41.9656	52580.2	2949.85	9630.33
17	43.1015	22150.4	1844.14	5477.68
18	39.1767	27095.5	1964.5	6185.18
19	59.5574	22775.4	1972.81	5807.5
20	59.6547	48011	2723.58	8745.93
21	50.738	22212.9	2014.24	5950.24
22	52.3339	31950.2	2394.19	7231.21
23	42.9804	22247.4	1770.35	5222.47
24	32.468	29748.7	2118.36	6475.28
25	47.1105	33177.9	2502.04	7523.86
26	45.1544	29589.7	2531.63	7602.72
27	59.5556	30199.5	1950.88	5969.85
28	35.8878	31484.1	2377.72	7147.28
29	40.9033	49978.6	3034.44	9748.74
30	30.9231	29696.8	1990.33	6153.86
