runId	fit_min	fit_max	fit_avg	fit_std
1	87.7844	1.40779e+009	1.00513e+008	3.28507e+008
2	35.7551	2.08873e+009	1.41199e+008	4.63858e+008
3	118.699	1.92499e+009	6.48927e+007	2.9069e+008
4	91.4522	2.88598e+009	9.3307e+007	4.22561e+008
5	43.1689	2.33188e+009	1.04968e+008	3.88961e+008
6	100.781	2.15887e+009	1.29964e+008	4.58367e+008
7	71.6759	1.36656e+009	7.47816e+007	2.65538e+008
8	49.0249	1.01993e+009	6.15766e+007	2.07477e+008
9	84.137	1.38379e+009	6.58185e+007	2.36615e+008
10	111.569	1.70566e+009	1.15294e+008	3.72052e+008
11	88.1652	2.86085e+009	1.23205e+008	4.80805e+008
12	87.1688	1.71862e+009	1.10159e+008	3.87577e+008
13	107.972	2.40309e+009	1.5071e+008	5.05678e+008
14	156.078	2.41668e+009	1.39108e+008	4.94079e+008
15	74.4856	2.62102e+009	1.39274e+008	4.77762e+008
16	81.0223	2.63177e+009	1.57531e+008	5.49797e+008
17	59.9966	2.79436e+009	1.44482e+008	5.16126e+008
18	102.587	2.22785e+009	1.08393e+008	4.03432e+008
19	50.3124	2.56602e+009	1.15088e+008	4.46302e+008
20	83.0826	2.10001e+009	1.05429e+008	3.84966e+008
21	81.8408	2.60731e+009	1.29777e+008	4.57438e+008
22	67.7749	1.10352e+009	7.30466e+007	2.4865e+008
23	73.9857	5.9314e+008	4.17392e+007	1.36885e+008
24	76.4387	1.3642e+009	7.31876e+007	2.49986e+008
25	107.055	2.71099e+009	1.36634e+008	5.39755e+008
26	110.067	1.61602e+009	8.90421e+007	3.13279e+008
27	66.318	2.93363e+009	8.32248e+007	4.22287e+008
28	85.4729	2.62819e+009	1.32051e+008	4.90368e+008
29	81.0272	2.31544e+009	1.292e+008	4.39932e+008
30	40.6642	1.56076e+009	6.32991e+007	2.48543e+008
