runId	fit_min	fit_max	fit_avg	fit_std
1	2.40305e+008	2.11345e+019	4.23416e+017	2.98877e+018
2	1.97045e+008	4.19149e+023	8.3841e+021	5.92765e+022
3	2.48321e+008	3.43283e+022	1.10624e+021	5.63407e+021
4	3.47487e+008	1.25885e+015	4.4715e+013	2.00355e+014
5	5.18958e+008	4.62932e+024	9.2587e+022	6.54685e+023
6	2.73155e+008	7.00398e+017	2.62103e+016	1.29647e+017
7	4.07286e+008	7.838e+023	1.5676e+022	1.10846e+023
8	3.17276e+008	2.45551e+017	4.91186e+015	3.4726e+016
9	1.92144e+008	5.97939e+019	1.1961e+018	8.4561e+018
10	2.56989e+008	1.69784e+020	3.39937e+018	2.40106e+019
11	3.93485e+008	3.62597e+019	7.25223e+017	5.12789e+018
12	2.90324e+008	6.24447e+020	1.30043e+019	8.83018e+019
13	3.36603e+008	5.82213e+022	1.16725e+021	8.23335e+021
14	4.19906e+008	1.23597e+021	2.47237e+019	1.74792e+020
15	3.6177e+008	8.39841e+021	1.68211e+020	1.18768e+021
16	3.73356e+008	2.46677e+020	4.93601e+018	3.4885e+019
17	2.23522e+008	1.17909e+022	2.35821e+020	1.66748e+021
18	3.1492e+008	1.49081e+021	4.79387e+019	2.44265e+020
19	1.75665e+008	2.1423e+024	4.28461e+022	3.02968e+023
20	1.92104e+008	2.24224e+017	5.29446e+015	3.21064e+016
21	3.68597e+008	8.28561e+021	1.66694e+020	1.17164e+021
22	2.71615e+008	9.11526e+020	1.82305e+019	1.28909e+020
23	2.19783e+008	7.10687e+022	1.47609e+021	1.00502e+022
24	4.03772e+008	1.42795e+019	3.42857e+017	2.02994e+018
25	2.61565e+008	9.32258e+016	1.87102e+015	1.31832e+016
26	2.54434e+008	3.19776e+016	6.63971e+014	4.52045e+015
27	2.8073e+008	7.30346e+022	1.46078e+021	1.03286e+022
28	2.42237e+008	2.11164e+014	6.70587e+012	3.32653e+013
29	2.65712e+008	6.8325e+020	1.47933e+019	9.679e+019
30	4.24972e+008	3.1601e+017	6.41082e+015	4.46812e+016
