runId	fit_min	fit_max	fit_avg	fit_std
1	373.932	1.43428e+008	3.77633e+006	2.08465e+007
2	495.601	1.29225e+007	280844	1.82593e+006
3	61.3083	1.39205e+007	318826	1.97525e+006
4	112.085	4.5574e+008	9.12739e+006	6.44495e+007
5	334.59	8.14634e+006	226017	1.18832e+006
6	101.73	5.15406e+008	2.14607e+007	8.96193e+007
7	324.958	1.61843e+008	3.77257e+006	2.30924e+007
8	450.519	3.94051e+007	1.03961e+006	5.67881e+006
9	258.046	6.56707e+008	1.34129e+007	9.28507e+007
10	307.688	2.26171e+007	779316	3.87019e+006
11	168.911	3.32732e+006	144229	570917
12	173.686	6.75773e+007	1.72893e+006	9.76668e+006
13	402.604	7.16469e+007	2.48012e+006	1.12814e+007
14	216.707	1.6914e+008	4.13057e+006	2.43129e+007
15	376.167	9.36538e+007	1.88314e+006	1.32433e+007
16	144.266	1.33449e+008	2.68286e+006	1.88706e+007
17	86.4963	2.27512e+009	4.59092e+007	3.21704e+008
18	338.501	5.74883e+006	193525	954818
19	391.164	4.09941e+008	8.44106e+006	5.79515e+007
20	100.172	7.87939e+007	2.53254e+006	1.25499e+007
21	165.376	2.94917e+007	788611	4.27043e+006
22	423.208	3.50834e+006	76364.2	495579
23	165.187	6.55217e+008	1.57197e+007	9.36837e+007
24	589.421	152291	10019	27867.4
25	225.451	1.35388e+006	36638.9	192920
26	133.549	4.13953e+010	8.35656e+008	5.85332e+009
27	477.864	8.00079e+006	310967	1.27916e+006
28	337.49	1.01631e+007	284959	1.52366e+006
29	139.607	525816	16476.9	75276.8
30	304.757	2.43568e+006	80138.1	370091
