runId	fit_min	fit_max	fit_avg	fit_std
1	126.138	7270.11	675.942	1534.98
2	90.8078	7026.42	737.721	1716.32
3	91.7851	8028.35	688.941	1656.76
4	90.7413	8302.06	825.08	2059.23
5	87.5503	8529.32	720.792	1766.78
6	110.817	10443.7	945.452	2360.56
7	106.529	11566.4	871.96	2230.27
8	90.5161	7550.83	793.84	1885.01
9	92.6315	8707.48	807.569	1983.69
10	86.2947	6885.62	728.212	1697.15
11	90.0553	8088.15	780.947	1885.95
12	109.903	6154.42	624.677	1428.4
13	91.2529	6669.97	727.887	1720.72
14	116.688	8742.52	788.054	1934.87
15	107.516	11393.2	946.226	2403.95
16	112.384	9227.32	956.993	2353.44
17	108.761	6227.49	701.031	1577.31
18	90.0142	10491.8	915.159	2326.97
19	92.2805	7146.56	628.845	1558.33
20	99.7637	8753.8	774.38	1949.32
21	96.0843	7454.26	791.095	1905.33
22	93.5974	7520.76	765.079	1814.09
23	98.0059	7218.3	728.329	1715.06
24	104.984	6984.71	695.159	1668.28
25	98.4678	8112.72	748.27	1838.74
26	99.0969	7647.3	760.723	1845.56
27	86.5061	6634.65	773.65	1815.1
28	107.931	9772.73	929.911	2272.63
29	94.8299	8528.86	745.847	1780.25
30	95.1932	9944.6	711.78	1837.43
