runId	fit_min	fit_max	fit_avg	fit_std
1	1937.5	1.63518e+006	139938	383261
2	817.143	2.51245e+006	174339	509594
3	1896.15	2.2642e+006	159567	458316
4	7014.08	1.42508e+006	130648	340489
5	2847.43	2.189e+006	136029	404013
6	3168.05	2.25261e+006	145462	439636
7	8063.27	1.51363e+006	127803	348602
8	3035.78	2.10488e+006	140404	430555
9	2808.33	3.0488e+006	193167	607647
10	612.599	2.17741e+006	167606	465068
11	9244.32	3.34135e+006	143517	500859
12	4234.97	2.07254e+006	117745	350935
13	6593.46	1.76767e+006	148100	415152
14	8916.47	1.88514e+006	127980	363672
15	1553.82	2.18138e+006	156361	457401
16	553.35	1.85232e+006	125618	366024
17	2887.78	1.52166e+006	97219.3	282931
18	3315.58	2.65939e+006	146724	458996
19	3508.77	2.03565e+006	155268	434845
20	1990.74	3.09215e+006	205262	630580
21	5512.15	2.51747e+006	148959	468488
22	2003	2.61843e+006	136834	426589
23	3779.55	1.73504e+006	127757	375061
24	2453.65	2.46598e+006	153202	457086
25	4164.33	1.25052e+006	113428	307316
26	4043.69	1.9065e+006	110967	327044
27	4260.31	1.60292e+006	109691	309460
28	3956.08	1.92524e+006	165112	469426
29	2714.44	1.83552e+006	158290	432413
30	3038.91	2.63561e+006	147467	465884
