runId	fit_min	fit_max	fit_avg	fit_std
1	74981.9	2.54152e+023	5.08304e+021	3.59425e+022
2	73916.5	2.00998e+020	4.85723e+018	2.88802e+019
3	942285	8.2075e+019	1.64814e+018	1.16062e+019
4	28124.8	1.64023e+022	3.28228e+020	2.31961e+021
5	35120.8	3.76114e+020	7.52603e+018	5.31901e+019
6	634910	1.45153e+020	3.3962e+018	2.06212e+019
7	39430.4	3.13168e+019	6.26846e+017	4.4288e+018
8	676157	6.9464e+020	1.39708e+019	9.82272e+019
9	841153	3.07856e+028	6.15712e+026	4.35374e+027
10	1.23596e+007	4.92158e+019	9.85773e+017	6.95997e+018
11	214810	1.07427e+020	2.49221e+018	1.53365e+019
12	40170.1	2.18091e+019	7.79397e+017	3.46608e+018
13	113777	2.14766e+017	4.44457e+015	3.03602e+016
14	31261.4	1.09134e+018	2.20344e+016	1.54316e+017
15	164613	2.91534e+024	5.8309e+022	4.12291e+023
16	188987	7.54096e+024	1.51961e+023	1.06632e+024
17	74288.6	8.27703e+019	1.65562e+018	1.17055e+019
18	413477	4.13195e+023	8.26432e+021	5.84346e+022
19	41404.1	1.91673e+023	3.85969e+021	2.71034e+022
20	52142.5	6.1063e+018	1.26001e+017	8.63293e+017
21	280368	5.20244e+016	1.50559e+015	7.9146e+015
22	50942.8	4.58797e+016	1.30445e+015	6.9778e+015
23	84683.6	6.10288e+020	1.2524e+019	8.62777e+019
24	350314	4.21704e+021	8.43411e+019	5.96379e+020
25	464916	3.65137e+020	7.30276e+018	5.16382e+019
26	28428.3	7.13939e+024	1.42788e+023	1.00966e+024
27	203979	8.00558e+020	1.60134e+019	1.13216e+020
28	706805	1.13277e+023	2.26558e+021	1.60198e+022
29	103367	7.02008e+019	1.46756e+018	9.92641e+018
30	27493.2	5.03752e+018	1.01326e+017	7.12341e+017
