runId	fit_min	fit_max	fit_avg	fit_std
1	0.304287	8.64022e+007	2.20483e+006	1.25929e+007
2	0.300922	1.6927e+008	3.45993e+006	2.39321e+007
3	0.494261	5.34313e+006	187901	875534
4	0.445043	5.28662e+006	201601	876797
5	0.334617	2.8782e+008	7.22822e+006	4.17796e+007
6	0.379194	2.65823e+007	728802	3.8678e+006
7	0.401764	9.17038e+006	194848	1.2963e+006
8	0.340023	2.03854e+006	102057	407652
9	0.487517	557600	39272.6	131332
10	0.382174	9.95903e+010	2.00062e+009	1.4083e+010
11	0.355665	5.94048e+007	1.38119e+006	8.4695e+006
12	0.332506	2.98072e+007	979938	4.55326e+006
13	0.341528	1.38787e+006	34061.8	196700
14	0.385448	7.7029e+007	1.58187e+006	1.08891e+007
15	0.310429	1.27093e+007	460626	2.19814e+006
16	0.437432	3.06558e+007	693539	4.35192e+006
17	0.370774	8.72174e+007	1.77431e+006	1.23306e+007
18	0.398826	1.13306e+007	287748	1.62978e+006
19	0.413344	4.21122e+007	963601	5.97981e+006
20	0.279443	7.49543e+006	183323	1.06528e+006
21	0.416443	3.24259e+008	6.4906e+006	4.58564e+007
22	0.277711	1.34154e+008	2.88223e+006	1.89684e+007
23	0.467315	6.36681e+006	143861	900787
24	0.404803	1.47595e+007	383772	2.15299e+006
25	0.308549	2.59099e+007	974173	4.71648e+006
26	0.31611	6.80575e+007	1.38813e+006	9.62211e+006
27	0.244687	2.76147e+007	588467	3.90451e+006
28	0.273108	2.29659e+007	505894	3.24833e+006
29	0.33411	4.29746e+007	865721	6.07667e+006
30	0.388764	6.24796e+006	129730	883078
