runId	fit_min	fit_max	fit_avg	fit_std
1	2216.45	6.13288e+008	2.05222e+007	9.2335e+007
2	2136.97	1.19259e+009	2.43087e+007	1.68606e+008
3	1806.99	2.34555e+009	1.07542e+008	4.33645e+008
4	959.579	2.36182e+009	1.08936e+008	4.09567e+008
5	3402.26	9.00264e+008	3.74216e+007	1.61822e+008
6	1752.5	3.3449e+009	1.57471e+008	6.43655e+008
7	2015.77	1.11492e+009	2.54548e+007	1.57727e+008
8	3060.05	6.77393e+008	3.55827e+007	1.24152e+008
9	3380.28	2.43911e+009	5.68346e+007	3.48185e+008
10	973.059	1.25842e+009	3.047e+007	1.79356e+008
11	1067.16	1.13394e+009	5.83153e+007	2.16855e+008
12	2064.43	1.4785e+009	6.84497e+007	2.71335e+008
13	3024.79	1.03157e+009	4.47029e+007	1.73117e+008
14	3141.34	2.75201e+009	7.07053e+007	3.92443e+008
15	2725.97	3.47366e+009	1.19351e+008	5.29862e+008
16	2084.74	2.82899e+008	1.78478e+007	6.18971e+007
17	1762.32	1.27643e+009	6.37133e+007	2.54372e+008
18	2074.69	1.72385e+009	7.33024e+007	2.78988e+008
19	2378.2	3.52659e+009	7.87017e+007	4.99074e+008
20	1462.15	2.98158e+009	1.81074e+008	6.8429e+008
21	1415.17	1.15277e+009	4.58982e+007	1.85837e+008
22	3024.07	1.64232e+009	4.41341e+007	2.3852e+008
23	1140.96	9.28914e+008	2.46954e+007	1.34562e+008
24	1729.89	7.15942e+009	1.7713e+008	1.02143e+009
25	3798.73	1.05809e+009	4.40951e+007	1.75459e+008
26	2735.37	3.75481e+009	1.28016e+008	5.74944e+008
27	2725.5	4.60531e+008	1.36119e+007	6.90385e+007
28	3028.74	4.77849e+009	1.31313e+008	7.09035e+008
29	2176.16	1.24794e+009	5.34025e+007	2.12895e+008
30	575.627	1.43128e+009	9.32526e+007	3.15162e+008
