runId	fit_min	fit_max	fit_avg	fit_std
1	6.39929	7104.88	586.887	1807.19
2	9.62951	7258.25	550.668	1695.63
3	2.34538	7727.34	570.987	1770.6
4	2.59198	8749.98	605.767	1887.76
5	3.96834	7420.12	471.41	1520.42
6	0.00226831	6880.47	524.627	1666.8
7	2.01847	11135.5	728.009	2330.17
8	5.5522	13193.5	722.074	2414.87
9	15.1259	7407.96	581.767	1750.98
10	3.34804	8239.11	674.982	2096.44
11	0.00458264	6425.17	492.013	1535.04
12	2.01713	7875.69	603.663	1924.41
13	0.00145514	6950.07	479.528	1520.53
14	1.11053	7451.66	629.973	1943.83
15	10.6324	8802.64	759.063	2303.07
16	8.84593	7432.43	626.935	1899.2
17	1.41708	8349.03	515.742	1663.11
18	0.00310889	8421.49	599.444	1863.56
19	2.18059	8454.25	592.738	1860.27
20	1.3215	9965.29	791.775	2438.83
21	1.05551	8249.34	555.771	1805.65
22	8.79484	9135.35	658.674	2013.28
23	9.58512	6898.87	536.892	1675.49
24	1.72583	7630.9	650.416	1993.95
25	1.0674	10770.5	635.391	2106.44
26	2.60297	8742.58	670.031	2117.6
27	6.41003	8538.03	527.799	1710.16
28	1.42129	11361.8	642.533	2178.11
29	8.53809	6378.07	493.118	1496.55
30	6.92652	6581.72	490.925	1502.35
