runId	fit_min	fit_max	fit_avg	fit_std
1	59.6942	1.94359e+009	9.984e+007	3.46043e+008
2	67.1663	1.15122e+009	9.26654e+007	2.89544e+008
3	71.0078	2.65407e+009	1.35504e+008	4.68194e+008
4	116.287	2.41857e+009	1.44595e+008	4.71332e+008
5	57.3011	1.30958e+009	1.12353e+008	3.43382e+008
6	14.5679	1.67057e+009	1.2598e+008	3.93601e+008
7	25.6412	2.31086e+009	1.62204e+008	5.25515e+008
8	79.6123	1.604e+009	1.10023e+008	3.44138e+008
9	14.0121	1.48252e+009	8.46113e+007	2.76894e+008
10	56.1384	1.41861e+009	9.79014e+007	3.19734e+008
11	13.7398	1.67778e+009	1.21101e+008	3.80062e+008
12	84.4296	2.01501e+009	1.22606e+008	4.10692e+008
13	15.1312	1.72723e+009	1.11207e+008	3.65754e+008
14	39.4078	1.73201e+009	1.10482e+008	3.64257e+008
15	13.4817	1.20072e+009	8.19639e+007	2.6351e+008
16	72.4853	1.55936e+009	9.54284e+007	3.26662e+008
17	48.2853	2.00684e+009	1.45882e+008	4.67527e+008
18	19.3559	1.08244e+009	8.77919e+007	2.68434e+008
19	14.0468	1.49814e+009	1.16334e+008	3.60702e+008
20	12.5764	1.78979e+009	1.44412e+008	4.65772e+008
21	80.0603	1.60238e+009	1.13446e+008	3.61565e+008
22	63.3293	1.16319e+009	7.56817e+007	2.4999e+008
23	11.1702	2.0663e+009	1.1554e+008	3.80908e+008
24	63.8857	1.39632e+009	1.06126e+008	3.55193e+008
25	69.3371	1.4928e+009	9.07621e+007	2.92059e+008
26	75.8182	2.18752e+009	1.42292e+008	4.64741e+008
27	69.3846	1.76326e+009	9.06523e+007	3.37387e+008
28	12.4347	2.10211e+009	1.50798e+008	4.68445e+008
29	70.4543	1.58375e+009	9.67028e+007	3.32634e+008
30	13.252	1.70703e+009	1.18301e+008	3.79169e+008
