runId	fit_min	fit_max	fit_avg	fit_std
1	1.64813	223783	11660.3	41173.8
2	0.786468	127619	8865.54	28872
3	2.14076	77278.2	6142.54	19225.2
4	1.19755	108443	7163.09	23240
5	1.17129	126819	8982.86	28200.6
6	3.89926	257312	11948.9	42804.4
7	2.25664	88100.3	6407.09	19806.8
8	1.76517	131295	8249.05	28757.4
9	2.60782	94164	6937.63	21646.8
10	1.03171	222446	8500.49	34739.4
11	1.86712	189534	7815.22	30254.1
12	0.436633	120751	7944.97	25527.5
13	1.5266	219521	11477.5	40494
14	2.33883	204568	12016.3	39997.4
15	2.52931	181003	12675.9	42068.3
16	0.536409	96743.5	6796.3	22786.3
17	1.55922	291791	13336.3	48111
18	2.42455	253659	9190.85	38224.8
19	1.53432	278106	10244.3	42291.2
20	1.51692	102603	6852.4	22528.1
21	0.79627	146257	9436.14	31427.3
22	1.87188	223654	10811.3	38028.3
23	2.76258	90512.9	6413.11	20285.7
24	1.11179	126021	7569.46	25417.6
25	3.26348	219264	11995.4	40546.4
26	0.689781	154249	10915.7	35868
27	3.84308	222053	16598.6	53793.9
28	1.06752	335798	20562.8	68221.7
29	0.896439	159536	10194.3	34406
30	1.30055	88982	5385.97	17846.1
