runId	fit_min	fit_max	fit_avg	fit_std
1	5.48489	6625.49	487.589	1540.25
2	1.97205	9602.97	650.92	2129.24
3	18.4658	6379.38	535.96	1639.53
4	0.736298	7556.23	538.391	1701.46
5	14.8359	8969.68	506.957	1638.85
6	1.97626	8473.77	704.048	2160.19
7	18.3918	8476.39	637.397	1938.87
8	1.99129	8414.58	622.528	1970.28
9	0.466314	8739.13	704.366	2168.04
10	0.732358	8913.09	666.745	2068.04
11	2.73657	7864.41	679.801	2073.03
12	0.824666	6942.97	579.576	1785.55
13	1.9772	10042	617.475	1977.71
14	0.831077	8811	686.79	2131.71
15	14.9671	9408.2	637.934	2052.95
16	1.9745	8945.04	599.861	1902.89
17	2.74955	9857.58	583.155	1926.72
18	0.0086367	7374.31	557.169	1756.58
19	2.6496	9909.31	645.226	2030.64
20	1.97677	9625.11	710.899	2258.5
21	1.97243	12136.2	705.573	2327.19
22	5.60732	9535.08	571.596	1874.61
23	1.97899	7054.49	504.392	1599.29
24	1.98275	6903.01	597.638	1819.04
25	2.8603	8909.26	595.374	1889
26	11.6227	6539.66	559.914	1685.87
27	1.97187	9111.85	744.779	2274.96
28	14.8157	8091.5	649.531	1965.38
29	0.00925413	8393.35	598.71	1888.44
30	18.4179	7522.57	630.349	1872.54
