runId	fit_min	fit_max	fit_avg	fit_std
1	6.51337	8403.23	587.308	1809.03
2	6.23052	7813.84	684.762	2059.69
3	2.61001	8046.73	612.878	1896.91
4	5.90456	8535.56	680.794	2078.76
5	2.72152	7879.56	540.862	1696.14
6	3.44853	10426	680.777	2146.96
7	1.84522	9386.71	705.948	2164.48
8	2.98405	9218.54	695.651	2159.93
9	6.01567	7876.78	492.379	1607.2
10	3.28891	8690.99	614.238	1934.21
11	10.0959	8355.92	576.842	1804.14
12	7.66634	8540.6	612.737	1872.74
13	3.10557	6757.72	455.01	1416.94
14	9.862	7801.7	534.157	1637.94
15	4.34068	9246.52	709.999	2246.45
16	8.36127	9393.77	631.765	1994.06
17	2.78535	10622.8	594.889	1984.07
18	12.169	7830.36	607.864	1842.92
19	5.15182	7989.86	608.36	1903.15
20	5.98741	7748.6	529.755	1690.99
21	8.21151	7962.43	673.337	2030.3
22	4.56359	5831.22	491.234	1496.43
23	3.57124	9854.87	688.919	2144.42
24	2.15127	8955.41	585.051	1856.06
25	10.1838	8914.89	627.094	1944.08
26	5.59582	6755.97	556.854	1692.67
27	2.58825	6641.76	567.769	1719.75
28	4.56441	9833.09	598.275	1923.51
29	6.96349	10588.3	668.689	2165.23
30	4.48406	8549.81	567.283	1808.18
