runId	fit_min	fit_max	fit_avg	fit_std
1	2.57696	5.81943e+007	3.41229e+006	1.20148e+007
2	1.96329	4.30602e+007	3.36794e+006	1.08939e+007
3	2.04534	3.18014e+007	1.6221e+006	6.33199e+006
4	1.5588	4.28491e+007	2.47793e+006	8.36442e+006
5	2.75462	4.97881e+007	2.52003e+006	9.45612e+006
6	2.51742	5.37339e+007	2.98521e+006	9.91753e+006
7	1.47507	3.44567e+007	2.07671e+006	7.45087e+006
8	2.16714	3.50544e+007	1.79824e+006	6.47782e+006
9	1.53228	4.00994e+007	2.11638e+006	7.70405e+006
10	1.74647	7.74031e+007	3.11993e+006	1.22551e+007
11	1.94806	2.42704e+007	1.40722e+006	4.9703e+006
12	2.56545	3.05193e+007	1.82927e+006	6.26532e+006
13	1.4777	5.72826e+007	2.61465e+006	9.89207e+006
14	2.45322	3.04603e+007	1.71351e+006	5.73228e+006
15	1.92468	5.84826e+007	3.51413e+006	1.19799e+007
16	1.21265	4.39123e+007	2.73815e+006	9.26269e+006
17	2.19732	4.31438e+007	2.60749e+006	8.53434e+006
18	2.44302	3.3563e+007	2.51249e+006	7.89166e+006
19	2.34869	4.84874e+007	2.81426e+006	9.82588e+006
20	2.26333	5.76287e+007	2.90257e+006	1.03369e+007
21	1.30017	4.14134e+007	2.68325e+006	8.63303e+006
22	1.37662	7.39227e+007	2.37535e+006	1.08465e+007
23	2.00829	2.90612e+007	1.19682e+006	4.95014e+006
24	2.44118	5.502e+007	3.52041e+006	1.11586e+007
25	0.765164	4.09802e+007	2.93412e+006	9.66783e+006
26	2.11503	4.01351e+007	2.49286e+006	8.52016e+006
27	1.41894	5.9304e+007	3.12831e+006	1.1711e+007
28	1.39755	4.66281e+007	3.1138e+006	1.02909e+007
29	2.3965	3.9647e+007	2.1788e+006	7.73425e+006
30	1.96851	5.49429e+007	2.84596e+006	9.68294e+006
