runId	fit_min	fit_max	fit_avg	fit_std
1	454.278	25772.2	2815.21	6597.22
2	403.019	29937.3	2718.75	6347.1
3	383.217	37893.2	2829.4	7278.46
4	463.927	29600.9	3050.59	7337.51
5	416.912	49572.7	3138.92	8739.77
6	406.769	45503.6	3460.82	8785.88
7	440.275	22063.6	2498.86	5543.11
8	439.858	43091.8	3206.78	8253
9	403.54	23549	2680.03	6093.91
10	489.218	54539.5	3278.75	9077.72
11	276.957	28267.8	2766.04	6873.02
12	490.618	35032.2	3118.52	7542.28
13	369.867	24465	2555.52	5842.05
14	328.739	46894.2	3210.93	8703.19
15	297.003	31738.6	3011.23	7312.45
16	437.428	25944.6	2592.74	5879.5
17	307.233	26233.6	2548.28	5995.78
18	354.326	26402.2	2561.55	5880.19
19	431.243	27253.1	2595.4	6074.73
20	377.558	30908.1	3061.61	7518.58
21	476.873	25138.3	2512.89	5659.35
22	457.738	22726.2	2491.9	5460.92
23	329.858	21250.2	2366.03	5275.46
24	468.841	34091.8	3196.51	7783.23
25	457.219	39366.8	2860.67	7243.28
26	448.023	29913.5	2654.21	6268.03
27	353.547	27889.1	3083.65	7600.36
28	470.012	27583.8	2548.49	5667.61
29	458.341	38466.4	3031.54	7777.99
30	414.018	25580	2391.09	5409.41
