runId	fit_min	fit_max	fit_avg	fit_std
1	3.12365	35623.1	2525.09	8225.23
2	3.76515	32591.9	2279.48	7492.49
3	1.99944	30170.4	2038	6676.36
4	3.96782	78608.2	3351.01	12910.2
5	2.15769	56710.6	3805.17	12639.6
6	3.86465	64562.3	3254.13	12882.4
7	4.23885	159914	7458.5	29721.2
8	1.66742	20037	1073.51	3683.91
9	3.65381	181503	10065.4	34094.6
10	1.9521	138950	5269.75	21900.1
11	2.98875	48447	2435.86	8782.53
12	4.37026	144676	7038.46	25755.3
13	2.09838	36374.2	2199.2	7469.33
14	2.67616	132423	4927.46	20657.5
15	3.61159	102867	3831.27	16583.8
16	3.62804	214654	6470.44	31219.1
17	2.74847	138357	8322.37	27215.2
18	4.23082	138819	7065.14	27307.1
19	3.18173	83571.7	3765.5	14084.8
20	2.32761	84045.7	3671.08	14487.3
21	4.95045	67597.7	2652.67	10426
22	2.40358	29406.1	1608	5684.53
23	2.20839	77823.9	2905.85	11853
24	4.47614	152294	5946.89	24649.2
25	4.53653	57098.7	3037.85	10755.5
26	3.93269	287293	10434.9	44568.4
27	3.43521	94819	3072.11	14193.2
28	2.44993	317993	11142.6	50942.8
29	2.48596	141975	5315.96	21773.9
30	2.35469	316714	8596.12	46327.9
