runId	fit_min	fit_max	fit_avg	fit_std
1	14.9593	2.45779e+007	898024	4.43966e+006
2	11.982	1.131e+007	236732	1.59848e+006
3	8.56621	1.8105e+009	3.62198e+007	2.56042e+008
4	14.3274	7.11855e+008	1.5368e+007	1.00725e+008
5	11.4821	1.12276e+007	509164	2.09691e+006
6	10.8811	1.13025e+008	2.3435e+006	1.59799e+007
7	10.3413	6.847e+008	1.38024e+007	9.68184e+007
8	13.7453	1.21113e+008	2.4729e+006	1.71235e+007
9	13.7645	3.24656e+006	78932.1	460464
10	12.9751	2.05661e+008	4.37685e+006	2.90697e+007
11	10.3595	7.57527e+006	160376	1.07047e+006
12	10.4598	2.98928e+008	8.98403e+006	4.58648e+007
13	5.90523	1.00187e+009	2.70938e+007	1.49196e+008
14	13.9204	1.35909e+009	2.7806e+007	1.92152e+008
15	13.9925	1.57924e+010	3.2751e+008	2.23315e+009
16	17.4601	4.09131e+007	1.12703e+006	6.10749e+006
17	17.2489	3.94189e+007	917232	5.59088e+006
18	14.2567	8.40461e+007	1.70509e+006	1.18831e+007
19	14.9512	3.39574e+007	972952	5.15001e+006
20	13.6038	3.48407e+009	7.65429e+007	4.93859e+008
21	13.3651	5.82549e+009	2.05364e+008	1.02023e+009
22	13.0373	3.93147e+007	982060	5.63968e+006
23	13.127	2.78159e+008	5.7273e+006	3.93217e+007
24	11.6072	1.17238e+009	2.34885e+007	1.65793e+008
25	7.10729	7.3157e+010	1.46363e+009	1.03459e+010
26	12.418	9.20557e+006	296677	1.47313e+006
27	12.2709	9.17326e+009	1.98271e+008	1.29938e+009
28	16.0737	7.47902e+009	1.67736e+008	1.06253e+009
29	7.21325	268697	11911.1	43995.7
30	18.363	1.50323e+006	85475.4	329835
