runId	fit_min	fit_max	fit_avg	fit_std
1	112.565	3.45328e+007	913652	5.05702e+006
2	106.889	1.76999e+006	82400.8	329006
3	93.737	4.79907e+007	1.717e+006	7.5788e+006
4	102.626	4.48336e+008	1.01247e+007	6.37499e+007
5	120.275	2.5795e+008	7.27201e+006	3.85305e+007
6	96.7374	9.90986e+008	2.03501e+007	1.40094e+008
7	80.3482	6.98902e+008	1.669e+007	9.95559e+007
8	111.241	6.40011e+008	2.07923e+007	9.92325e+007
9	80.6159	1.88165e+009	3.81487e+007	2.66041e+008
10	96.1422	1.15191e+009	2.39425e+007	1.62818e+008
11	92.4438	1.46568e+007	349061	2.07931e+006
12	108.025	2.38832e+007	792674	3.59386e+006
13	92.8712	2.21098e+008	5.97277e+006	3.22633e+007
14	90.0308	1.85439e+008	5.94529e+006	2.83246e+007
15	84.7392	2.65859e+007	934930	4.19524e+006
16	79.8015	1.39672e+008	3.96925e+006	2.10921e+007
17	115.303	2.09622e+006	65488.1	307923
18	102.235	7.43325e+007	1.76626e+006	1.05943e+007
19	116.025	1.35758e+007	648842	2.63677e+006
20	101.232	9.98026e+007	2.18001e+006	1.41263e+007
21	86.468	9.90751e+008	3.05398e+007	1.509e+008
22	90.1061	6.11003e+007	2.07413e+006	9.35522e+006
23	97.5506	3.168e+008	8.205e+006	4.53783e+007
24	106.387	1.74514e+008	5.47775e+006	2.73816e+007
25	106.952	1.04737e+007	276629	1.52824e+006
26	103.56	3.94867e+007	1.65547e+006	6.89254e+006
27	104.2	1.86034e+009	3.73191e+007	2.63076e+008
28	99.0172	5.92774e+007	1.29135e+006	8.38153e+006
29	107.06	2.17346e+008	4.67232e+006	3.07358e+007
30	57.6374	3.40106e+008	9.35488e+006	4.88957e+007
