runId	fit_min	fit_max	fit_avg	fit_std
1	861.178	1.4634e+009	8.71264e+007	3.01196e+008
2	301.772	2.19405e+009	1.11725e+008	3.91499e+008
3	746.887	1.62595e+009	8.88261e+007	3.03097e+008
4	811.254	1.63359e+009	1.16999e+008	3.71952e+008
5	862.66	1.85104e+009	1.29568e+008	4.05837e+008
6	2364.63	1.58023e+009	1.12312e+008	3.70153e+008
7	494.417	1.86836e+009	9.46423e+007	3.26342e+008
8	1021.03	1.7848e+009	1.49776e+008	4.60238e+008
9	1940.59	1.20243e+009	1.03438e+008	3.16163e+008
10	1133.67	2.07835e+009	1.3427e+008	4.36972e+008
11	1006.82	1.55211e+009	1.11176e+008	3.66561e+008
12	1162.85	1.07903e+009	9.22355e+007	2.84088e+008
13	1497.48	1.14384e+009	8.88543e+007	2.73928e+008
14	533.203	1.41543e+009	1.08456e+008	3.52139e+008
15	1859.97	1.47575e+009	1.09908e+008	3.40235e+008
16	1656.16	1.75877e+009	1.3005e+008	4.23882e+008
17	506.338	1.9945e+009	1.26221e+008	4.05174e+008
18	2623.28	1.51213e+009	1.09072e+008	3.57456e+008
19	347.22	1.56227e+009	1.11621e+008	3.61992e+008
20	915.009	1.50938e+009	9.72078e+007	3.25985e+008
21	2018.16	3.10182e+009	1.25493e+008	4.92829e+008
22	710.903	1.93597e+009	1.45688e+008	4.53862e+008
23	1669.71	1.67448e+009	1.24435e+008	4.03762e+008
24	1617.05	1.31381e+009	8.67148e+007	2.7785e+008
25	573.241	2.38842e+009	1.50881e+008	4.8172e+008
26	1077.4	1.59772e+009	1.14978e+008	3.65195e+008
27	1058.36	1.90186e+009	9.4592e+007	3.52828e+008
28	1708.64	2.62685e+009	1.43374e+008	4.80676e+008
29	1822.72	1.61813e+009	1.12197e+008	3.63613e+008
30	667.302	1.82416e+009	9.02117e+007	3.27743e+008
