runId	fit_min	fit_max	fit_avg	fit_std
1	20.3929	8351.1	747.673	2174.12
2	21.2613	7836.79	643.167	1892.96
3	16.2525	9859.13	773.076	2323.44
4	18.0722	8417.13	688.523	2041.35
5	17.7502	8826.88	549.204	1680.6
6	21.1419	9496.52	708.03	2127.95
7	11.0394	7830.49	644.594	1861.13
8	12.7816	7163.11	616.53	1793.98
9	7.40929	7840.12	641.522	1881.58
10	10.2178	5097.8	478.677	1372.74
11	11.8372	9972.37	793.685	2348.96
12	11.7319	10582.6	691.433	2072.12
13	15.618	7336.55	612.804	1806.51
14	8.08995	10235.8	817.823	2428.48
15	16.5453	12344.6	738.419	2295.64
16	21.3197	8773.53	679.388	1972.85
17	8.60869	7362.69	629.076	1825.68
18	18.4442	7943.24	624.948	1817.22
19	12.2621	9420.63	661.878	2037.87
20	16.8365	8596.69	589.033	1751.42
21	6.6929	6682.16	563.151	1642.41
22	9.87727	8496.19	541.331	1622.71
23	19.4679	11056.1	686.324	2172.56
24	20.4828	9651.84	704.227	2124.26
25	5.63666	8090.29	648.411	1954.47
26	8.45186	6160.64	606.302	1744.85
27	9.55271	8721.19	600.055	1790.03
28	27.3564	10605.6	671.399	2010.43
29	17.3947	8149.82	592.812	1827.4
30	12.983	6697.92	507.19	1445.95
